rays, sec,   rec-ord
32181, 3.9, 0
32209, 10.3, 1
32322, 2.6, 0
32361, 3.4, 1
32437, 3.7, 0
32472, 2.6, 0
32481, 2.4, 0
32513, 7.3, 0
32654, 10.4, 0
32699, 5.1, 0
32753, 6.8, 0
32783, 7.9, 0
32927, 7.8, 1
32984, 12.0, 0
32997, 3.4, 1
33020, 4.9, 0
33102, 3.2, 0
33128, 8.2, 1
33143, 9.3, 1
33164, 3.1, 0
33204, 11.5, 1
33215, 3.3, 0
33218, 3.7, 0
33270, 3.3, 0
33332, 8.0, 0
33378, 14.5, 0
33392, 4.9, 0
33396, 2.2, 0
33402, 13.5, 0
33455, 5.3, 1
33475, 2.7, 0
33481, 3.8, 0
33555, 5.7, 1
33567, 6.5, 0
33579, 5.8, 0
33589, 24.1, 0
33612, 3.3, 0
33619, 5.5, 0
33715, 3.4, 0
33788, 4.4, 0
33818, 3.0, 0
33840, 2.6, 0
33848, 6.9, 0
34020, 5.6, 0
34062, 3.9, 0
34157, 6.0, 0
34179, 2.7, 0
34208, 3.9, 0
34363, 5.2, 0
34412, 3.6, 1
34486, 3.5, 0
34610, 27.6, 0
34675, 24.6, 0
34802, 5.2, 1
34815, 10.4, 0
34856, 3.9, 1
34888, 4.5, 0
34907, 4.3, 0
35102, 2.9, 0
35150, 5.9, 0
35189, 3.1, 0
35242, 3.8, 0
35270, 4.4, 1
